product_id,product_name,brand_name,campaign_name,impressions,spend,inline_link_clicks,date_start,date_stop
11004,GARDENA SILENO minimo 250 m² - Mähroboter (Modell 2021) + Ersatzmesser-Set,GARDENA,tink_AT_AW_Traffic_31032021_v2,3970,7.89,10,2021-06-01,2021-06-01
10355,Withings Steel HR Sport + Belkin SOUNDFORM Move True Wireless Earbuds,Withings,tink_AT_AW_Traffic_31032021_v2,3870,8.45,15,2021-06-01,2021-06-01
11003,GARDENA SILENO minimo 500 m² - Mähroboter (Modell 2021) + Ersatzmesser-Set,GARDENA,tink_AT_AW_Traffic_31032021_v2,1501,3.57,8,2021-06-01,2021-06-01
11011,Belkin SOUNDFORM Move True Wireless Earbuds - Kopfhörer 2er-Set,Belkin,tink_AT_AW_Traffic_31032021_v2,1126,2.58,6,2021-06-01,2021-06-01
11230,eufy RoboVac L70 Hybrid + Google Nest Mini,eufy,tink_AT_AW_Traffic_31032021_v2,1046,2.85,5,2021-06-01,2021-06-01
11439,eufy RoboVac 35C - Saugroboter + Google Nest Mini,eufy,tink_AT_AW_Traffic_31032021_v2,1008,2.43,5,2021-06-01,2021-06-01
10352,Netatmo Smarte Außenkamera mit Alarmsirene 2er-Set + Google Nest Hub (2. Generation),Netatmo,tink_AT_AW_Traffic_31032021_v2,953,1.84,5,2021-06-01,2021-06-01
6460,ABUS Smart Security World WLAN Lichtkamera - Doppelpack,ABUS,tink_AT_AW_Traffic_31032021_v2,945,2.37,4,2021-06-01,2021-06-01
11165,Bosch Smart Home - Starter Set Rollosteuerung mit 5 Unterputz-Aktoren,Bosch,tink_AT_AW_Traffic_31032021_v2,754,2,3,2021-06-01,2021-06-01
6805,Philips Hue Turaco Wegeleuchten Dreierpack + Philips Hue Outdoor Sensor,Philips,tink_AT_AW_Traffic_31032021_v2,556,1.61,3,2021-06-01,2021-06-01
8195,Google Nest Mini (2. Gen) 2er-Pack - Smarter Lautsprecher mit Sprachsteuerung,Google,tink_AT_AW_Traffic_31032021_v2,532,1.31,2,2021-06-01,2021-06-01
5504,Eve Aqua - smarte Gartenbewässerung - Schwarz,Eve,tink_AT_RET_CAT_C0-548AC_tink_RET_CAT_AT_09112020_01122020,497,5.18,2,2021-06-01,2021-06-01
9853,Bosch Smart Home - Starter-Set Rollosteuerung mit 5 Unterputz-Aktoren + Google Nest Hub (2. Generation),Bosch,tink_AT_AW_Traffic_31032021_v2,447,0.9,2,2021-06-01,2021-06-01
3710771128952047,3710771128952047,3710771128952047,tink_AT_RET_CAT_C0-548AC_tink_RET_CAT_AT_09112020_01122020,399,5.88,4,2021-06-01,2021-06-01
3094579763968546,3094579763968546,3094579763968546,tink_AT_AW_Traffic_31032021_v2,365,0.86,1,2021-06-01,2021-06-01
11228,Sonos Roam - mobiler wasserdichter Smart Speaker - lunar white,Sonos,tink_AT_AW_Traffic_31032021_v2,359,0.75,0,2021-06-01,2021-06-01
8911,Innr Smart Outdoor Flex Light Colour - LED-Streifen - 2 m,Innr,tink_AT_RET_CAT_C0-548AC_tink_RET_CAT_AT_09112020_01122020,354,3.2,2,2021-06-01,2021-06-01
10039,Netatmo Smarte Außenkamera mit Sirene + Videotürklingel,Netatmo,tink_AT_AW_Traffic_31032021_v2,352,0.66,1,2021-06-01,2021-06-01
10853,Withings ScanWatch 42mm + gratis Withings Activité Leder-Armband 20mm,Withings,tink_AT_AW_Traffic_31032021_v2,258,0.61,3,2021-06-01,2021-06-01
6698,GARDENA Mähroboter smart SILENO life 750 m² Set mit LONA Funktion + Ersatzmesser,GARDENA,tink_AT_AW_Traffic_31032021_v2,250,0.62,1,2021-06-01,2021-06-01
9305,Eve Window Guard - Smarter Fenstersensor 2er Set,Eve,tink_AT_AW_Traffic_31032021_v2,247,0.76,4,2021-06-01,2021-06-01
6765,Netatmo Smarte Außenkamera 2er-Pack + Google Nest Mini,Netatmo,tink_AT_AW_Traffic_31032021_v2,232,0.4,2,2021-06-01,2021-06-01
10014,Chromecast mit Google TV - Smart TV Stick - weiss,Chromecast,tink_AT_RET_CAT_C0-548AC_tink_RET_CAT_AT_09112020_01122020,230,2.79,1,2021-06-01,2021-06-01
3774968639289678,3774968639289678,3774968639289678,tink_AT_AW_Traffic_31032021_v2,213,0.52,0,2021-06-01,2021-06-01
9321,Marshall Uxbridge VOICE Alexa - Weiss,Marshall,tink_AT_RET_CAT_C0-548AC_tink_RET_CAT_AT_09112020_01122020,197,2.62,1,2021-06-01,2021-06-01
11003,GARDENA SILENO minimo 500 m² - Mähroboter (Modell 2021) + Ersatzmesser-Set,GARDENA,tink_AT_RET_CAT_C0-548AC_tink_RET_CAT_AT_09112020_01122020,179,1.18,2,2021-06-01,2021-06-01
11239,Sonos Roam + Belkin SOUNDFORM Move True Wireless Earbuds,Sonos,tink_AT_AW_Traffic_31032021_v2,163,0.39,2,2021-06-01,2021-06-01
9722,"Smartes Sonnenschutz-Rollo, blickdicht - grau 160x230cm",Smartes,tink_AT_RET_CAT_C0-548AC_tink_RET_CAT_AT_09112020_01122020,158,2.5,2,2021-06-01,2021-06-01
11004,GARDENA SILENO minimo 250 m² - Mähroboter (Modell 2021) + Ersatzmesser-Set,GARDENA,tink_AT_RET_CAT_C0-548AC_tink_RET_CAT_AT_09112020_01122020,153,0.91,3,2021-06-01,2021-06-01
11239,Sonos Roam + Belkin SOUNDFORM Move True Wireless Earbuds,Sonos,tink_AT_RET_CAT_C0-548AC_tink_RET_CAT_AT_09112020_01122020,152,2.15,0,2021-06-01,2021-06-01
11516,Withings Body Cardio + Belkin SOUNDFORM Move True Wireless Earbuds,Withings,tink_AT_AW_Traffic_31032021_v2,147,0.32,0,2021-06-01,2021-06-01
3863753530386571,3863753530386571,3863753530386571,tink_AT_RET_CAT_C0-548AC_tink_RET_CAT_AT_09112020_01122020,141,1.72,3,2021-06-01,2021-06-01
6698,GARDENA Mähroboter smart SILENO life 750 m² Set mit LONA Funktion + Ersatzmesser,GARDENA,tink_AT_RET_CAT_C0-548AC_tink_RET_CAT_AT_09112020_01122020,134,1.37,2,2021-06-01,2021-06-01
8692,Philips Hue Econic 2er-Pack Deiner Wahl + Outdoor Sensor,Philips,tink_AT_AW_Traffic_31032021_v2,125,0.35,1,2021-06-01,2021-06-01
