product_id,product_name,brand_name,campaign_name,impressions,spend,inline_link_clicks,date_start,date_stop
6891,Google Nest Hub (Gen. 2) + Gratis Google Nest Mini,Google,tink_BE_PROSP_Conversion_21528022022_vereinfacht_v3,1593,6.96,12,2022-03-01,2022-03-01
5636,Sonos One SL set van 4 - Wifi-speaker,Sonos,tink_BE_PROSP_Conversion_21528022022_vereinfacht_v3,1581,8.6,14,2022-03-01,2022-03-01
8033,Eve Thermo (2020) 3-pack,Eve,tink_BE_PROSP_Conversion_21528022022_vereinfacht_v3,1428,8.75,17,2022-03-01,2022-03-01
6890,Google Nest Hub (Gen. 2) 2-pack - Smart Display,Google,tink_BE_RET_Cat_11-2802202,1027,10.69,5,2022-03-01,2022-03-01
6891,Google Nest Hub (Gen. 2) + Gratis Google Nest Mini,Google,tink_BE_RET_Cat_11-2802202,986,9.16,4,2022-03-01,2022-03-01
6890,Google Nest Hub (Gen. 2) 2-pack - Smart Display,Google,tink_BE_PROSP_Conversion_21528022022_vereinfacht_v3,889,3.96,10,2022-03-01,2022-03-01
11551,Google Nest Doorbell (batterij) + Google Nest Hub (Gen. 2),Google,tink_BE_RET_Cat_11-2802202,687,6.3,5,2022-03-01,2022-03-01
8195,Google Nest Mini 2-pack,Google,tink_BE_PROSP_Conversion_21528022022_vereinfacht_v3,652,3.13,5,2022-03-01,2022-03-01
3511419018967176,3511419018967176,3511419018967176,tink_BE_RET_Cat_11-2802202,584,4.07,2,2022-03-01,2022-03-01
8768,tado° Slimme Bedrade Thermostaat Starter Kit V3+ incl. Bridge + 6-pack Radiatorknoppen,tado°,tink_BE_RET_Cat_11-2802202,511,4.3,2,2022-03-01,2022-03-01
3809,Sonos Arc One SL 5.1 Home Theatre Set,Sonos,tink_BE_PROSP_Conversion_21528022022_vereinfacht_v3,384,1.64,11,2022-03-01,2022-03-01
1731,tado° Slimme Radiatorknop - Wit,tado°,tink_BE_RET_Cat_11-2802202,376,2.93,1,2022-03-01,2022-03-01
11371,Google Nest Hub (Gen. 2) + gratis TP Link Tapo C200 - Pan/Tilt Home Security Wifi Camera,Google,tink_BE_RET_Cat_11-2802202,319,3.24,5,2022-03-01,2022-03-01
