product_id,product_name,brand_name,campaign_name,impressions,spend,inline_link_clicks,date_start,date_stop
8195,Google Nest Mini 2-pack,Google,tink_BE_PROSP_Conversion_0809-11092022_Advantage+ Campaign,2177,13.02,7,2022-10-01,2022-10-01
6890,Google Nest Hub (Gen. 2) 2-pack - Smart Display,Google,tink_BE_PROSP_Conversion_0809-11092022_Advantage+ Campaign,919,5.77,0,2022-10-01,2022-10-01
8768,tado° Slimme Bedrade Thermostaat Starter Kit V3+ incl. Bridge + 6-pack Radiatorknoppen,tado°,tink_BE_RET_Cat_2308_always_on_V2,449,3.6,5,2022-10-01,2022-10-01
12375,Google Chromecast met Google TV (4K) + Google Nest Hub (Gen. 2),Google,tink_BE_PROSP_Conversion_0809-11092022_Advantage+ Campaign,423,1.39,1,2022-10-01,2022-10-01
11603,Google Nest Learning Thermostat (Gen. 3) + Google Nest Hub (Gen. 2),Google,tink_BE_PROSP_Conversion_0809-11092022_Advantage+ Campaign,416,2.38,3,2022-10-01,2022-10-01
8196,Google Nest Learning Thermostat + Google Nest Mini,Google,tink_BE_PROSP_Conversion_0809-11092022_Advantage+ Campaign,357,1.31,0,2022-10-01,2022-10-01
1731,tado° Slimme Radiatorknop - Wit,tado°,tink_BE_RET_Cat_2308_always_on_V2,348,3.19,4,2022-10-01,2022-10-01
8202,tado° Slimme Bedrade Thermostaat Starter Kit V3+ incl. Bridge + 4-pack Radiatorknoppen,tado°,tink_BE_PROSP_Conversion_0809-11092022_Advantage+ Campaign,345,1.12,2,2022-10-01,2022-10-01
3809,Sonos Arc One SL 5.1 Home Theatre Set,Sonos,tink_BE_PROSP_Conversion_0809-11092022_Advantage+ Campaign,337,1.63,4,2022-10-01,2022-10-01
12543,Google Chromecast met Google TV (HD) 2-pack,Google,tink_BE_PROSP_Conversion_0809-11092022_Advantage+ Campaign,283,1.14,1,2022-10-01,2022-10-01
8768,tado° Slimme Bedrade Thermostaat Starter Kit V3+ incl. Bridge + 6-pack Radiatorknoppen,tado°,tink_BE_PROSP_Conversion_0809-11092022_Advantage+ Campaign,274,1.98,2,2022-10-01,2022-10-01
6367,tado° Slimme Radiatorknop 4-pack - Wit,tado°,tink_BE_RET_Cat_2308_always_on_V2,242,2.21,0,2022-10-01,2022-10-01
8120,tado° Slimme Radiatorknop Starter Kit V3+ incl. Bridge + Duo-pack + Radiatorknop (4 totaal),tado°,tink_BE_PROSP_Conversion_0809-11092022_Advantage+ Campaign,238,1.06,0,2022-10-01,2022-10-01
11551,Google Nest Doorbell (batterij) + Google Nest Hub (Gen. 2),Google,tink_BE_PROSP_Conversion_0809-11092022_Advantage+ Campaign,234,1.58,0,2022-10-01,2022-10-01
