product_id,product_name,brand_name,campaign_name,impressions,spend,inline_link_clicks,date_start,date_stop
6262,AVM FRITZ!DECT 200 3er-Pack - Smarte Steckdose,AVM,tink_DE_PROSP_CAT_02102020_DEonly_TopDealsPromo_01122020,19188,59.71,168,2021-02-01,2021-02-01
10190,Google Nest Audio 3er-Set,Google,tink_DE_PROSP_CAT_02102020_DEonly_TopDealsPromo_01122020,15545,15.52,21,2021-02-01,2021-02-01
6461,"Google Nest Protect 6er-Pack - Protect Rauch- und Kohlenmonoxidmelder, 2. Generation",Google,tink_DE_PROSP_CAT_02102020_DEonly_TopDealsPromo_01122020,12704,60.71,94,2021-02-01,2021-02-01
10110,tado° Starter Kit mit 2 Smarten Heizkörper-Thermostaten V3+ und Funk-Temperatursensor,tado°,tink_DE_PROSP_CAT_02102020_DEonly_TopDealsPromo_01122020,9979,15.71,25,2021-02-01,2021-02-01
8110,AVM FRITZ!DECT 301 6er-Pack - Smarte Heizkörper-Thermostate,AVM,tink_DE_PROSP_CAT_02102020_DEonly_TopDealsPromo_01122020,9817,36.06,140,2021-02-01,2021-02-01
8365,tado° Smartes Heizkörper-Thermostat - Zusatzprodukt für Einzelraumsteuerung 5er-Pack,tado°,tink_DE_PROSP_CAT_02102020_DEonly_TopDealsPromo_01122020,6427,15.4,22,2021-02-01,2021-02-01
9605,Eve Water Guard 2er-Set,Eve,tink_DE_PROSP_CAT_02102020_DEonly_TopDealsPromo_01122020,6317,34.87,108,2021-02-01,2021-02-01
4737883639586798,4737883639586798,4737883639586798,tink_DE_PROSP_CAT_02102020_DEonly_TopDealsPromo_01122020,5269,17.83,12,2021-02-01,2021-02-01
4407,tado° Smartes Heizkörper-Thermostat Starter Kit V3+ mit 5 Thermostaten & Bridge zur Einzelraumsteuerung,tado°,tink_DE_PROSP_CAT_02102020_DEonly_TopDealsPromo_01122020,4128,12.44,8,2021-02-01,2021-02-01
10345,tado° Smartes Heizkörper-Thermostat Starter Kit V3+ mit 5 Thermostaten + Funk-Temperatursensor,tado°,tink_DE_PROSP_CAT_02102020_DEonly_TopDealsPromo_01122020,3763,12.15,37,2021-02-01,2021-02-01
8114,Bosch Smart Home Heizkörperthermostat 6er-Pack,Bosch,tink_DE_PROSP_CAT_02102020_DEonly_TopDealsPromo_01122020,3539,14.57,33,2021-02-01,2021-02-01
5247,Netatmo Windmesser + Regenmesser,Netatmo,tink_DE_PROSP_CAT_02102020_DEonly_TopDealsPromo_01122020,3224,13.45,25,2021-02-01,2021-02-01
3913925828694995,3913925828694995,3913925828694995,tink_DE_PROSP_CAT_02102020_DEonly_TopDealsPromo_01122020,2734,9.93,12,2021-02-01,2021-02-01
10150,tado° Funk-Temperatursensor 2er-Set,tado°,tink_DE_PROSP_CAT_02102020_DEonly_TopDealsPromo_01122020,1914,11.72,21,2021-02-01,2021-02-01
2706386969412111,2706386969412111,2706386969412111,tink_DE_PROSP_CAT_02102020_DEonly_TopDealsPromo_01122020,1875,6.69,15,2021-02-01,2021-02-01
10188,Bosch Smart Home Heizkörperthermostat 3er-Set,Bosch,tink_DE_PROSP_CAT_02102020_DEonly_TopDealsPromo_01122020,1865,5.64,10,2021-02-01,2021-02-01
6264,AVM FRITZ!DECT 301 Dreierpack - Smarte Heizkörper-Thermostate,AVM,tink_DE_PROSP_CAT_02102020_DEonly_TopDealsPromo_01122020,1491,6.91,20,2021-02-01,2021-02-01
8467,Bosch Smart Home - Starter Set Heizung mit 4 Thermostaten,Bosch,tink_DE_PROSP_CAT_02102020_DEonly_TopDealsPromo_01122020,1258,5.34,15,2021-02-01,2021-02-01
1997347420368220,1997347420368220,1997347420368220,tink_DE_PROSP_CAT_02102020_DEonly_TopDealsPromo_01122020,1254,6.98,15,2021-02-01,2021-02-01
2732912570162144,2732912570162144,2732912570162144,tink_DE_PROSP_CAT_02102020_DEonly_TopDealsPromo_01122020,1243,4.68,12,2021-02-01,2021-02-01
3638713342833194,3638713342833194,3638713342833194,tink_DE_PROSP_CAT_02102020_DEonly_TopDealsPromo_01122020,1194,4.49,5,2021-02-01,2021-02-01
6275,tado° Starter Kit mit 3 Smarten Heizkörper-Thermostaten V3+ und Raumthermostat,tado°,tink_DE_PROSP_CAT_02102020_DEonly_TopDealsPromo_01122020,1089,4.6,6,2021-02-01,2021-02-01
10052,Google Nest Audio + Google Nest Mini,Google,tink_DE_PROSP_CAT_02102020_DEonly_TopDealsPromo_01122020,983,4.19,2,2021-02-01,2021-02-01
5015,Netatmo Heizkörperthermostat Starter Set mit 5 Thermostaten,Netatmo,tink_DE_PROSP_CAT_02102020_DEonly_TopDealsPromo_01122020,971,4.8,20,2021-02-01,2021-02-01
3785989228113639,3785989228113639,3785989228113639,tink_DE_PROSP_CAT_02102020_DEonly_TopDealsPromo_01122020,890,1.87,6,2021-02-01,2021-02-01
9283,EZVIZ C3X Überwachungskamera mit KI und Nachtsicht in Farbe 2er-Pack,EZVIZ,tink_DE_PROSP_CAT_02102020_DEonly_TopDealsPromo_01122020,695,3.02,7,2021-02-01,2021-02-01
9756,Netatmo Smarte Videotürklingel - schwarz,Netatmo,tink_DE_PROSP_CAT_02102020_DEonly_TopDealsPromo_01122020,667,4.12,14,2021-02-01,2021-02-01
10096,Google Nest Audio Stereo-Set + Google Nest Mini,Google,tink_DE_PROSP_CAT_02102020_DEonly_TopDealsPromo_01122020,661,1.29,1,2021-02-01,2021-02-01
9284,Google Nest Hub (2. Generation) + EZVIZ C3WN Außenkamera,Google,tink_DE_PROSP_CAT_02102020_DEonly_TopDealsPromo_01122020,627,3.25,9,2021-02-01,2021-02-01
7838,Bosch Smart Home - Starter Set Rollladensteuerung Unterputz + Google Nest Mini,Bosch,tink_DE_PROSP_CAT_02102020_DEonly_TopDealsPromo_01122020,527,1.56,2,2021-02-01,2021-02-01
5102,Ring Video Doorbell 3 + Ring Chime Gen. 2 - WLAN Türgong,Ring,tink_DE_PROSP_CAT_02102020_DEonly_TopDealsPromo_01122020,489,2.47,7,2021-02-01,2021-02-01
10347,tado° Smartes Heizkörper-Thermostat Starter Kit V3+ mit 3 Thermostaten + Funk-Temperatursensor,tado°,tink_DE_PROSP_CAT_02102020_DEonly_TopDealsPromo_01122020,476,2.22,3,2021-02-01,2021-02-01
3692781007498770,3692781007498770,3692781007498770,tink_DE_PROSP_CAT_02102020_DEonly_TopDealsPromo_01122020,448,1.06,3,2021-02-01,2021-02-01
10051,Google Nest Audio - Stereo-Set - Smart Speaker mit Sprachassistent,Google,tink_DE_PROSP_CAT_02102020_DEonly_TopDealsPromo_01122020,390,1.96,6,2021-02-01,2021-02-01
3350764898298892,3350764898298892,3350764898298892,tink_DE_PROSP_CAT_02102020_DEonly_TopDealsPromo_01122020,311,1.66,8,2021-02-01,2021-02-01
10125,AVM FRITZ!DECT 301 4er-Set,AVM,tink_DE_PROSP_CAT_02102020_DEonly_TopDealsPromo_01122020,306,2.11,4,2021-02-01,2021-02-01
4732,Google Nest Protect Rauch- & Kohlenmonoxidmelder + Google Nest Mini,Google,tink_DE_PROSP_CAT_02102020_DEonly_TopDealsPromo_01122020,278,0.86,2,2021-02-01,2021-02-01
7627,AVM FRITZ!DECT 301 5er-Pack - Smarte Heizkörper-Thermostate,AVM,tink_DE_PROSP_CAT_02102020_DEonly_TopDealsPromo_01122020,258,1.11,4,2021-02-01,2021-02-01
6790,Ring Spotlight Cam Battery + Zusatzakku,Ring,tink_DE_PROSP_CAT_02102020_DEonly_TopDealsPromo_01122020,214,0.95,2,2021-02-01,2021-02-01
4592,Google Nest Protect 3-pack + Google Nest Mini,Google,tink_DE_PROSP_CAT_02102020_DEonly_TopDealsPromo_01122020,192,0.85,1,2021-02-01,2021-02-01
8431,Netatmo Set mit Wetterstation und Regenmesser - Schwarz,Netatmo,tink_DE_PROSP_CAT_02102020_DEonly_TopDealsPromo_01122020,158,0.7,0,2021-02-01,2021-02-01
10124,AVM FRITZ!DECT 301 3er-Set + AVM FRITZ!DECT 200 3er-Set,AVM,tink_DE_PROSP_CAT_02102020_DEonly_TopDealsPromo_01122020,157,0.64,1,2021-02-01,2021-02-01
