product_id,product_name,brand_name,campaign_name,impressions,spend,inline_link_clicks,date_start,date_stop
6890,Google Nest Hub (Gen. 2) 2-pack - Smart Display,Google,tink_NL_RET_Cat_3103_always_on,521,6.47,6,2022-05-01,2022-05-01
11551,Google Nest Doorbell (batterij) + Google Nest Hub (Gen. 2),Google,tink_NL_RET_Cat_3103_always_on,305,4.69,4,2022-05-01,2022-05-01
11598,Nanoleaf Elements Hexagons Starter Kit 13-pack - Bruin,Nanoleaf,tink_NL_RET_Cat_3103_always_on,283,4.55,4,2022-05-01,2022-05-01
8509,Nuki Opener + Bridge,Nuki,tink_NL_RET_Cat_3103_always_on,229,3.28,1,2022-05-01,2022-05-01
11203,Google Nest Hub (Gen. 2) - Smart Display - Carbon,Google,tink_NL_RET_Cat_3103_always_on,200,2.19,5,2022-05-01,2022-05-01
11726,Tile Sticker (2022) - Bluetooth Tracker 2-pack - Zwart,Tile,tink_NL_RET_Cat_3103_always_on,197,2.24,2,2022-05-01,2022-05-01
6891,Google Nest Hub (Gen. 2) + Gratis Google Nest Mini,Google,tink_NL_RET_Cat_3103_always_on,123,1.01,0,2022-05-01,2022-05-01
8768,tado° Slimme Bedrade Thermostaat Starter Kit V3+ incl. Bridge + 6-pack Radiatorknoppen,tado°,tink_NL_RET_Cat_3103_always_on,118,1.4,1,2022-05-01,2022-05-01
9299,"Google Nest Cam (indoor, netvoeding) 2-pack",Google,tink_NL_RET_Cat_3103_always_on,115,1.32,2,2022-05-01,2022-05-01
6760,Ring Solar Panel - Zonnelader - Zwart,Ring,tink_NL_RET_Cat_3103_always_on,110,1.1,1,2022-05-01,2022-05-01
11603,Google Nest Learning Thermostat (Gen. 3) + Google Nest Hub (Gen. 2),Google,tink_NL_RET_Cat_3103_always_on,107,1.51,1,2022-05-01,2022-05-01
10053,Google Nest Audio + Google Nest Hub (Gen. 2),Google,tink_NL_RET_Cat_3103_always_on,98,3.69,3,2022-05-01,2022-05-01
8195,Google Nest Mini 2-pack,Google,tink_NL_RET_Cat_3103_always_on,96,0.82,1,2022-05-01,2022-05-01
11557,Google Nest Doorbell (batterij) - Wit,Google,tink_NL_RET_Cat_3103_always_on,94,0.95,1,2022-05-01,2022-05-01
7000157843391671,7000157843391671,7000157843391671,tink_NL_RET_Cat_3103_always_on,91,1.35,2,2022-05-01,2022-05-01
11371,Google Nest Hub (Gen. 2) + gratis TP Link Tapo C200 - Pan/Tilt Home Security Wifi Camera,Google,tink_NL_RET_Cat_3103_always_on,89,1.28,0,2022-05-01,2022-05-01
11576,Google Nest Protect Batterij 3-pack - Rook- en Koolmonoxidemelders,Google,tink_NL_RET_Cat_3103_always_on,88,0.49,0,2022-05-01,2022-05-01
10051,Google Nest Audio Stereo Set,Google,tink_NL_RET_Cat_3103_always_on,84,0.99,0,2022-05-01,2022-05-01
6894,Google Nest Hello + Google Nest Hub (Gen. 2),Google,tink_NL_RET_Cat_3103_always_on,76,1.58,4,2022-05-01,2022-05-01
11779,Hombli Smart Video Doorbell 2 + Doorbell Chime 2 - Zwart,Hombli,tink_NL_RET_Cat_3103_always_on,73,0.84,1,2022-05-01,2022-05-01
11461,Hombli Outdoor Smart Socket - Zwart,Hombli,tink_NL_RET_Cat_3103_always_on,73,1.88,1,2022-05-01,2022-05-01
11788,Bold Smart Lock SX33 + Bold Clicker,Bold,tink_NL_RET_Cat_3103_always_on,72,0.54,1,2022-05-01,2022-05-01
11236,Wallbox Power Boost - Slimme Energie Meter 3-fase,Wallbox,tink_NL_RET_Cat_3103_always_on,68,0.79,3,2022-05-01,2022-05-01
11552,Google Nest Cam (batterij) 2-pack + Google Nest Hub (Gen. 2),Google,tink_NL_RET_Cat_3103_always_on,60,0.84,0,2022-05-01,2022-05-01
11485,Hombli Outdoor Light String + Extension Set,Hombli,tink_NL_RET_Cat_3103_always_on,52,0.78,0,2022-05-01,2022-05-01
11859,eufy Video Doorbell 2K (Batterij) met HomeBase 2 + Google Nest Hub (Gen. 2),eufy,tink_NL_RET_Cat_3103_always_on,51,0.57,0,2022-05-01,2022-05-01
4419,Sonos Arc One 5.1 Home Theatre Set,Sonos,tink_NL_RET_Cat_3103_always_on,50,0.51,0,2022-05-01,2022-05-01
10708,Ring Spotlight Cam Beveiligingscamera - Bedraad - Zwart,Ring,tink_NL_RET_Cat_3103_always_on,48,0.25,0,2022-05-01,2022-05-01
8605,Bold Smart Lock SX33 3-pack - Slimme Deur Slot,Bold,tink_NL_RET_Cat_3103_always_on,47,0.38,0,2022-05-01,2022-05-01
11202,Google Nest Hub (Gen. 2) - Smart Display - Chalk,Google,tink_NL_RET_Cat_3103_always_on,45,0.75,2,2022-05-01,2022-05-01
8556,Hombli Smart Socket Duo - Slimme Stekker - Wit,Hombli,tink_NL_RET_Cat_3103_always_on,43,0.54,1,2022-05-01,2022-05-01
4407,tado° Slimme Radiatorknop Starter Kit V3+ incl. Bridge + 4x Radiatorknoppen (5 totaal),tado°,tink_NL_RET_Cat_3103_always_on,43,0.49,0,2022-05-01,2022-05-01
11885,Spectral Just-Racks TV610SP - Glas,Spectral,tink_NL_RET_Cat_3103_always_on,43,0.43,0,2022-05-01,2022-05-01
5098317140232180,5098317140232180,5098317140232180,tink_NL_RET_Cat_3103_always_on,40,0.65,2,2022-05-01,2022-05-01
3754680067961234,3754680067961234,3754680067961234,tink_NL_RET_Cat_3103_always_on,39,0.33,0,2022-05-01,2022-05-01
11541,"Google Nest Cam (outdoor of indoor, batterij) 2-pack - Wit",Google,tink_NL_RET_Cat_3103_always_on,38,0.89,1,2022-05-01,2022-05-01
8393,Google Nest Protect Batterij 4-pack - Rook- en Koolmonoxidemelders 2de generatie,Google,tink_NL_RET_Cat_3103_always_on,37,0.4,0,2022-05-01,2022-05-01
4328965487189243,4328965487189243,4328965487189243,tink_NL_RET_Cat_3103_always_on,37,0.5,0,2022-05-01,2022-05-01
5504,Eve Aqua - Slimme Sprinklerinstallatie (2020) - Zwart,Eve,tink_NL_RET_Cat_3103_always_on,36,0.36,0,2022-05-01,2022-05-01
11830,Nuki Smart Lock 3.0 - Slim Deurslot - Wit,Nuki,tink_NL_RET_Cat_3103_always_on,35,0.42,1,2022-05-01,2022-05-01
8091,Nuki Smart Lock 3.0 + Bridge + Fob 2-pack,Nuki,tink_NL_RET_Cat_3103_always_on,33,0.59,0,2022-05-01,2022-05-01
11780,Hombli Smart Video Doorbell 2 + Doorbell Chime 2 - Wit,Hombli,tink_NL_RET_Cat_3103_always_on,33,0.34,0,2022-05-01,2022-05-01
11771,Hombli Smart Switch Module Duo - Zwart,Hombli,tink_NL_RET_Cat_3103_always_on,33,0.52,0,2022-05-01,2022-05-01
356,tado° Slimme Bedrade Thermostaat - Wit,tado°,tink_NL_RET_Cat_3103_always_on,32,0.38,0,2022-05-01,2022-05-01
8275,Google Nest Wifi 2-pack - 1 Router en 1 Access Point - Wit,Google,tink_NL_RET_Cat_3103_always_on,31,0.27,1,2022-05-01,2022-05-01
11664,Foscam FN7108W Beveiligingscamera Set 1TB met 4 Camera's - Wit,Foscam,tink_NL_RET_Cat_3103_always_on,31,0.41,0,2022-05-01,2022-05-01
11283,Google Nest Hub (Gen. 2) + Hombli Smart Bulb Color 4-pack,Google,tink_NL_RET_Cat_3103_always_on,30,0.27,1,2022-05-01,2022-05-01
9770,tado° Slimme Draadloze Thermostaat Starter Kit V3+ - Wit,tado°,tink_NL_RET_Cat_3103_always_on,29,0.36,0,2022-05-01,2022-05-01
5490,Google Nest Hello - Videodeurbel - Zwart,Google,tink_NL_RET_Cat_3103_always_on,29,0.4,1,2022-05-01,2022-05-01
11334,tado° Slimme Draadloze Temperatuursensor 2-pack,tado°,tink_NL_RET_Cat_3103_always_on,29,0.27,0,2022-05-01,2022-05-01
