product_id,product_name,brand_name,campaign_name,impressions,spend,inline_link_clicks,date_start,date_stop
6890,Google Nest Hub (Gen. 2) 2-pack - Smart Display,Google,tink_NL_PROSP_Conversion_0709-11092022_Advantage+ Campaign,3628,17.58,28,2022-10-01,2022-10-01
8195,Google Nest Mini 2-pack,Google,tink_NL_PROSP_Conversion_0709-11092022_Advantage+ Campaign,3012,19.39,14,2022-10-01,2022-10-01
12531,Google Chromecast met Google TV (HD) - Wit,Google,tink_NL_PROSP_Conversion_0709-11092022_Advantage+ Campaign,2674,16.38,30,2022-10-01,2022-10-01
8365,tado° Slimme Radiatorknop 5-pack,tado°,tink_NL_PROSP_Conversion_0709-11092022_Advantage+ Campaign,2479,14.9,12,2022-10-01,2022-10-01
4856,Eve Thermo (2020) 6-pack - Slimme Radiatorknop,Eve,tink_NL_PROSP_Conversion_0709-11092022_Advantage+ Campaign,1875,19.6,8,2022-10-01,2022-10-01
6890,Google Nest Hub (Gen. 2) 2-pack - Smart Display,Google,tink_NL_RET_Cat_3103_always_on,1424,16.16,8,2022-10-01,2022-10-01
12531,Google Chromecast met Google TV (HD) - Wit,Google,tink_NL_RET_Cat_3103_always_on,1149,16.42,10,2022-10-01,2022-10-01
11983,TP-Link Tapo P100 6-pack Slimme Wifi Stekker,TP-Link,tink_NL_PROSP_Conversion_0709-11092022_Advantage+ Campaign,775,8.5,6,2022-10-01,2022-10-01
1731,tado° Slimme Radiatorknop - Wit,tado°,tink_NL_RET_Cat_3103_always_on,690,9.18,6,2022-10-01,2022-10-01
10415,Hombli Smart Socket - Slimme Stekker - Zwart,Hombli,tink_NL_RET_Cat_3103_always_on,625,6.56,4,2022-10-01,2022-10-01
8768,tado° Slimme Bedrade Thermostaat Starter Kit V3+ incl. Bridge + 6-pack Radiatorknoppen,tado°,tink_NL_RET_Cat_3103_always_on,576,9.37,7,2022-10-01,2022-10-01
11603,Google Nest Learning Thermostat (Gen. 3) + Google Nest Hub (Gen. 2),Google,tink_NL_RET_Cat_3103_always_on,571,8.08,4,2022-10-01,2022-10-01
8768,tado° Slimme Bedrade Thermostaat Starter Kit V3+ incl. Bridge + 6-pack Radiatorknoppen,tado°,tink_NL_PROSP_Conversion_0709-11092022_Advantage+ Campaign,556,3.84,5,2022-10-01,2022-10-01
4631,tado° Slimme Radiatorknop 3-pack,tado°,tink_NL_PROSP_Conversion_0709-11092022_Advantage+ Campaign,531,3.29,2,2022-10-01,2022-10-01
12043,Eve Water Guard - Slimme Watermelder - Wit,Eve,tink_NL_RET_Cat_3103_always_on,470,6.68,6,2022-10-01,2022-10-01
11603,Google Nest Learning Thermostat (Gen. 3) + Google Nest Hub (Gen. 2),Google,tink_NL_PROSP_Conversion_0709-11092022_Advantage+ Campaign,370,2.71,3,2022-10-01,2022-10-01
8033,Eve Thermo (2020) 3-pack,Eve,tink_NL_PROSP_Conversion_0709-11092022_Advantage+ Campaign,364,1.95,2,2022-10-01,2022-10-01
7809,tado° Slimme Radiatorknop 6-pack,tado°,tink_NL_PROSP_Conversion_0709-11092022_Advantage+ Campaign,327,1.47,2,2022-10-01,2022-10-01
4419,Sonos Arc One 5.1 Home Theatre Set,Sonos,tink_NL_PROSP_Conversion_0709-11092022_Advantage+ Campaign,323,1.52,6,2022-10-01,2022-10-01
