product_id,product_name,brand_name,campaign_name,impressions,spend,inline_link_clicks,date_start,date_stop
1037,Sonos Roam + Sonos Trådlös Laddare för Roam,Sonos,Partner_SE_AW_Reach_0109-11092022,8603,130.1,4,2022-09-03,2022-09-03
1016,Sonos One Ray 5.0 Entertainment Set,Sonos,Partner_SE_AW_Reach_0109-11092022,8503,129.73,6,2022-09-03,2022-09-03
1040,Sonos Move 2-Pack,Sonos,Partner_SE_AW_Reach_0109-11092022,8484,129.82,6,2022-09-03,2022-09-03
785,Sonos One SL Stereo Set - Wifi-högtalare,Sonos,Partner_SE_AW_Reach_0109-11092022,8479,129.06,4,2022-09-03,2022-09-03
1084,Sonos Move + Transportväska,Sonos,Partner_SE_AW_Reach_0109-11092022,8479,127.62,5,2022-09-03,2022-09-03
767,Sonos One SL 4-pack - Wifi-högtalare,Sonos,Partner_SE_AW_Reach_0109-11092022,8433,128.28,10,2022-09-03,2022-09-03
762,Sonos One Stereo Set - Wifi-högtalare,Sonos,Partner_SE_AW_Reach_0109-11092022,8428,127.17,0,2022-09-03,2022-09-03
1049,Sonos Move + Väggfäste,Sonos,Partner_SE_AW_Reach_0109-11092022,8392,127.93,2,2022-09-03,2022-09-03
763,Sonos One SL 3-pack - Wifi-högtalare,Sonos,Partner_SE_AW_Reach_0109-11092022,8374,127.08,5,2022-09-03,2022-09-03
1035,Sonos Ray - Smart Soundbar 2-pack,Sonos,Partner_SE_AW_Reach_0109-11092022,8373,126.63,3,2022-09-03,2022-09-03
1036,Sonos Roam Stereo Set,Sonos,Partner_SE_AW_Reach_0109-11092022,8339,126.82,3,2022-09-03,2022-09-03
1051,Sonos Move + Trådlös strömbas,Sonos,Partner_SE_AW_Reach_0109-11092022,8332,125.99,3,2022-09-03,2022-09-03
782,Sonos One SL Beam 5.0 Entertainment Set,Sonos,Partner_SE_AW_Reach_0109-11092022,8314,126.55,3,2022-09-03,2022-09-03
762,Sonos One Stereo Set - Wifi-högtalare,Sonos,Partner_SE_AW_Reach_0109-11092022,6958,101.52,3,2022-09-04,2022-09-04
1037,Sonos Roam + Sonos Trådlös Laddare för Roam,Sonos,Partner_SE_AW_Reach_0109-11092022,6894,101.31,2,2022-09-04,2022-09-04
1084,Sonos Move + Transportväska,Sonos,Partner_SE_AW_Reach_0109-11092022,6875,100.32,1,2022-09-04,2022-09-04
