Category,Brand,Your SKU,Product ID,Product Name,Number of merchants,Price,Lowest price incl us,Lowest price incl us,Lowest price excl us,Lowest price excl us,Popularity Rank (category),Popularity Rank (global),Price 1 - Merchant Name,Price 1 - Price,Price 2 - Merchant Name,Price 2 - Price,Price 3 - Merchant Name,Price 3 - Price,Price 4 - Merchant Name,Price 4 - Price,Price 5 - Merchant Name,Price 5 - Price,Price 6 - Merchant Name,Price 6 - Price,Price 7 - Merchant Name,Price 7 - Price,Price 8 - Merchant Name,Price 8 - Price,Price 9 - Merchant Name,Price 9 - Price,Price 10 - Merchant Name,Price 10 - Price,Link to product,Gtin14
"Accesspunkter, Bryggor & Repeatrar",Google,780008-01,5221532,Google Nest Wifi Point,17,"1 790,00",Cdon,"1 329,00",Cdon,"1 329,00",25,28038,Cdon,"1 329,00",Soldfy,"1 329,00",ComputerSalg.se,"1 387,00",Elgruvan,"1 389,00",Webhallen SE,"1 499,00",Komplett,"1 590,00",Compumail,"1 593,00",FireWallForce,"1 609,55",Proshop,"1 666,00",tink,"1 790,00",https://www.pricerunner.se/pl/272-5221532/Accesspunkter-Bryggor-Repeatrar/Google-Nest-Wifi-Point-priser,193575004648
Barnsäkerhet,,124002-01,3202549628,EBO,5,"1 290,00",tink,"1 290,00",Allectra,"1 539,00",,,tink,"1 290,00",Allectra,"1 539,00",Cdon,"1 552,40",Amazon.se,"1 587,41",ShopBetter.se,"1 649,99",,,,,,,,,,,https://www.pricerunner.se/pl/497-3202549628/Barnsaekerhet/EBO-priser,6972822120188
Batterier & Laddbart,Ring,360008-01,5151271,Ring Quick Release,20,"349,00",Compumail,"313,00",Compumail,"313,00",732,68709,Compumail,"313,00",ComputerSalg.se,"319,00",Inet,"339,00",Elgiganten,"346,00",tink,"349,00",Proshop,"349,00",Kjell & Company,"349,00",Cdon,"368,00",Clas Ohlson,"389,00",MJ Multimedia,"389,00",https://www.pricerunner.se/pl/528-5151271/Batterier-Laddbart/Ring-Quick-Release-priser,842861101041
Batterier & Laddbart,Spacetalk,370003-01,3202903647,Spacetalk Adventurer Charging Dock and Stand,1,"340,00",tink,"340,00",,,,,tink,"340,00",,,,,,,,,,,,,,,,,,,https://www.pricerunner.se/pl/528-3202903647/Batterier-Laddbart/Spacetalk-Adventurer-Charging-Dock-and-Stand-priser,744109302541
Batterier & Laddbart,Arlo,1210016-01,3200468484,Arlo VMA5600B-20000S,12,"749,00",Inet,"699,00",Inet,"699,00",806,75036,Inet,"699,00",Cdon,"699,00",tink,"749,00",Webhallen SE,"749,00",Elgiganten,"749,00",MJ Multimedia,"780,00",Coolshop SE,"793,00",Komplett,"799,00",Compumail,"843,00",Net2World,"929,00",https://www.pricerunner.se/pl/528-3200468484/Batterier-Laddbart/Arlo-VMA5600B-20000S-priser,193108141574
Batterier & Laddbart,Arlo,1210016-02,3200347672,Arlo VMA5600-20000S,15,"749,00",Inet,"699,00",Inet,"699,00",608,57433,Inet,"699,00",Compumail,"743,00",St George Security Store,"745,00",tink,"749,00",Webhallen SE,"749,00",MediaMarkt,"749,00",Kjell & Company,"749,00",Elgiganten,"749,00",MJ Multimedia,"780,00",Komplett,"799,00",https://www.pricerunner.se/pl/528-3200347672/Batterier-Laddbart/Arlo-VMA5600-20000S-priser,193108141567
Batterier & Laddbart,Arlo,1210003-01,5280446,Arlo VMA3600,23,"695,00",Power SE,"462,00",Power SE,"462,00",118,13852,Power SE,"462,00",Proshop,"462,00",ComputerSalg.se,"483,00",MediaMarkt,"495,00",Inet,"495,00",Dustin Home,"495,00",Elgiganten,"495,00",Webhallen SE,"499,00",MJ Multimedia,"505,00",Compumail,"546,00",https://www.pricerunner.se/pl/528-5280446/Batterier-Laddbart/Arlo-VMA3600-priser,193108141093
Batterier & Laddbart,ABUS,130009-01,3204612654,ABUS Solcellspanel (för WLAN Battery Cam) vit,3,"654,00",tink,"654,00",Cdon,"990,00",,,tink,"654,00",Cdon,"990,00",ComputerSalg.se,"1 726,00",,,,,,,,,,,,,,,https://www.pricerunner.se/pl/528-3204612654/Batterier-Laddbart/ABUS-Solcellspanel-%28foer-WLAN-Battery-Cam%29-vit-priser,4003318966668
Batterier & Laddbart,Sonos,220003-02,3200110991,Sonos Roam Wireless Charger,16,"549,00",Datia,"472,00",Datia,"472,00",338,32105,Datia,"472,00",Davids,"498,00",Komplett,"498,00",MediaMarkt,"498,00",Hi-Fi Klubben Sverige,"498,00",Sonos,"499,00",Inet,"499,00",Hembiobutiken,"499,00",Dustin Home,"499,00",Elgiganten,"499,00",https://www.pricerunner.se/pl/528-3200110991/Batterier-Laddbart/Sonos-Roam-Wireless-Charger-priser,8717755777966
Belysning,Meross,250019-01,3203897073,Meross WLAN LED sänglampa Väggarmatur,6,"550,00",ComputerSalg.se,"497,00",ComputerSalg.se,"497,00",1854,94655,ComputerSalg.se,"497,00",iPhonebutiken,"499,00",tink,"550,00",Compumail,"588,00",Amazon.se,"728,87",Fcomputer SE,"871,00",,,,,,,,,https://www.pricerunner.se/pl/460-3203897073/Belysning/Meross-WLAN-LED-saenglampa-Vaeggarmatur-priser,6973696560483
Belysning,Innr,800023-01,3203771111,Innr Utomhuslampa OPL Pollare,10,"1 899,00",Compumail,"1 530,00",Compumail,"1 530,00",,,Compumail,"1 530,00",Cdon,"1 599,00",Proshop,"1 599,00",ComputerSalg.se,"1 649,00",Buyersclub,"1 779,00",Komplett,"1 829,00",tink,"1 899,00",Elektronik24,"2 085,00",Lamp24,"2 199,00",Fcomputer SE,"2 311,00",https://www.pricerunner.se/pl/460-3203771111/Belysning/Innr-Utomhuslampa-OPL-Pollare-priser,8718781552770
Belysning,Twinkly,310009-01,3200233124,Twinkly Line Ljuslist,20,"899,00",Coolstuff,"400,00",Coolstuff,"400,00",2102,106840,Coolstuff,"400,00",Proshop,"496,00",ComputerSalg.se,"497,00",Webhallen SE,"499,00",Buyersclub,"629,00",Compumail,"633,00",Cdon,"699,00",TVexperten,"699,00",Vitvaruexperten,"699,00",Ginza AB,"799,00",https://www.pricerunner.se/pl/460-3200233124/Belysning/Twinkly-Line-Ljuslist-priser,8056326677077
Belysning,Innr,800009-01,3203982567,Innr Flex Ljuslist,7,"799,00",tink,"799,00",Komplett,"829,00",,,tink,"799,00",Komplett,"829,00",Lamp24,"999,00",Cdon,"1 026,00",ComputerSalg.se,"1 387,00",Buyersclub,"1 389,00",Fcomputer SE,"1 432,00",,,,,,,https://www.pricerunner.se/pl/460-3203982567/Belysning/Innr-Flex-Ljuslist-priser,8718781552732
Belysning,Innr,800025-01,3203860164,Innr Lighting RSL 115 Spotlight,9,"239,00",tink,"239,00",Proshop,"242,00",,,tink,"239,00",Proshop,"242,00",Komplett,"259,00",Lamp24,"269,00",Compumail,"402,00",ComputerSalg.se,"492,00",Cdon,"568,00",Buyersclub,"629,00",Fcomputer SE,"760,00",,,https://www.pricerunner.se/pl/460-3203860164/Belysning/Innr-Lighting-RSL-115-Spotlight-priser,8718781552893
Belysning,Philips Hue,230040-01,3202207389,Philips Hue Xamento Recessed 1x5.7W Spotlight,14,"839,00",Power SE,"735,00",Power SE,"735,00",,,Power SE,"735,00",Amazon.se,"735,00",Proshop,"735,00",ComputerSalg.se,"788,00",Coolshop SE,"795,00",tink,"839,00",Webhallen SE,"839,00",Komplett,"839,00",Elgiganten,"839,00",Cdon,"867,00",https://www.pricerunner.se/pl/460-3202207389/Belysning/Philips-Hue-Xamento-Recessed-1x5.7W-Spotlight-priser,8719514452138
Belysning,Twinkly,310008-02,3203970209,Twinkly RGB LED-listförlängning Ljuslist,5,"499,00",tink,"499,00",Lampmani,"545,00",,,tink,"499,00",Lampmani,"545,00",Cdon,"546,00",Bauhaus,"599,00",Elgiganten,"599,00",,,,,,,,,,,https://www.pricerunner.se/pl/460-3203970209/Belysning/Twinkly-RGB-LED-listfoerlaengning-Ljuslist-priser,8056326677886
Belysning,Philips Hue,230024-01,3739743,Philips Hue Plus V4 EMEA ext 1m Ljuslist,45,"279,00",Bauhaus,"199,00",Bauhaus,"199,00",368,24346,Bauhaus,"199,00",Hornbach,"199,00",Mätteknik för alla,"240,00",Power SE,"250,00",Proshop,"250,00",Cdon,"259,00",tink,"279,00",Ljushuset,"279,00",Norrmalmsel,"279,00",Elbutik,"279,00",https://www.pricerunner.se/pl/460-3739743/Belysning/Philips-Hue-Plus-V4-EMEA-ext-1m-Ljuslist-priser,8718699703448
Belysning,Twinkly,310009-02,3203467414,Twinkly Line Ljuslist,6,"899,00",ComputerSalg.se,"848,00",ComputerSalg.se,"848,00",,,ComputerSalg.se,"848,00",Cdon,"897,00",tink,"899,00",Bauhaus,"986,00",Lampmani,"986,00",Elgiganten,"1 049,00",,,,,,,,,https://www.pricerunner.se/pl/460-3203467414/Belysning/Twinkly-Line-Ljuslist-priser,8056326677879
Belysning,Philips Hue,230023-01,5227043,Philips Hue Lightstrip Plus V4 EMEA 2m Base kit Ljuslist,50,"899,00",Cdon,"725,00",Cdon,"725,00",16,2334,Cdon,"725,00",Bauhaus,"729,00",Hornbach,"729,00",Power SE,"745,00",Amazon.se,"745,00",Proshop,"748,00",Mätteknik för alla,"773,00",Inet,"799,00",ComputerSalg.se,"808,00",Elon,"859,00",https://www.pricerunner.se/pl/460-5227043/Belysning/Philips-Hue-Lightstrip-Plus-V4-EMEA-2m-Base-kit-Ljuslist-priser,8718699703424
Belysning,Hombli,300025-01,3200949946,Hombli String Light Extension Lampdel,16,"549,00",Compumail,"544,00",Compumail,"544,00",5435,289315,Compumail,"544,00",tink,"549,00",Proshop,"549,00",Kjell & Company,"590,00",Coolshop SE,"599,00",Cdon,"599,00",Spelbutiken,"599,00",Net2World,"639,00",Datia,"668,00",Gameshop,"705,00",https://www.pricerunner.se/pl/460-3200949946/Belysning/Hombli-String-Light-Extension-Lampdel-priser,8719323918306
Belysning,Innr,800005-01,3203818609,Innr OSL 130 Spotlight,8,"399,00",tink,"399,00",Cdon,"399,00",,,tink,"399,00",Cdon,"399,00",Amazon.se,"399,00",Compumail,"454,00",Komplett,"459,00",ComputerSalg.se,"488,00",Buyersclub,"539,00",Lamp24,"549,00",,,,,https://www.pricerunner.se/pl/460-3203818609/Belysning/Innr-OSL-130-Spotlight-priser,8718781552565
Belysning,Hombli,300043-01,3204904340,Hombli Smart Light V2 Väggarmatur,4,"699,00",Datia,"690,00",Datia,"690,00",,,Datia,"690,00",tink,"699,00",Proshop,"699,00",Compliq,"813,75",,,,,,,,,,,,,https://www.pricerunner.se/pl/460-3204904340/Belysning/Hombli-Smart-Light-V2-Vaeggarmatur-priser,8719323919754
Belysning,Twinkly,310004-01,3203279945,Twinkly Festoon Ljusslinga 40 Lampor,4,"2 279,00",ComputerSalg.se,"2 277,00",ComputerSalg.se,"2 277,00",,,ComputerSalg.se,"2 277,00",tink,"2 279,00",Lampmani,"2 299,00",Elgiganten,"2 499,00",,,,,,,,,,,,,https://www.pricerunner.se/pl/460-3203279945/Belysning/Twinkly-Festoon-Ljusslinga-40-Lampor-priser,8056326678272
Belysning,Innr,8000037-01,5309688,Innr Flex Ljuslist,9,"549,00",Cdon,"499,00",Cdon,"499,00",3368,170281,Cdon,"499,00",tink,"549,00",Amazon.se,"579,00",Komplett,"629,00",Compumail,"676,00",Lamp24,"699,00",Buyersclub,"749,00",ComputerSalg.se,"769,00",Fcomputer SE,"1 114,00",,,https://www.pricerunner.se/pl/460-5309688/Belysning/Innr-Flex-Ljuslist-priser,8718781552718
Belysning,Philips Hue,230041-01,4909799,Philips Hue Col Play UK EXT Väggarmatur,32,"689,00",Power SE,"547,00",Power SE,"547,00",734,43467,Power SE,"547,00",Proshop,"547,00",Amazon.se,"547,00",Kjell & Company,"549,00",Inet,"549,00",Webhallen SE,"549,00",Cdon,"549,00",Dustin Home,"583,00",ComputerSalg.se,"588,00",Elbutik,"605,00",https://www.pricerunner.se/pl/460-4909799/Belysning/Philips-Hue-Col-Play-UK-EXT-Vaeggarmatur-priser,8718696170731
Belysning,Philips Hue,230043-01,3200846963,Philips Hue Xamento M Takplafond 38.1cm,18,"2 319,00",Elbutik,"1 949,00",Elbutik,"1 949,00",5672,302327,Elbutik,"1 949,00",Bauhaus,"1 949,00",Power SE,"2 056,00",Amazon.se,"2 056,00",Proshop,"2 056,00",ComputerSalg.se,"2 136,00",Ljusihem,"2 189,00",Cdon,"2 249,00",Komplett,"2 290,00",tink,"2 319,00",https://www.pricerunner.se/pl/460-3200846963/Belysning/Philips-Hue-Xamento-M-Takplafond-38.1cm-priser,8719514452251
