Category	Brand	Your SKU	Product ID	Product Name	Number of merchants	Price	Lowest price incl us	Lowest price incl us	Lowest price excl us	Lowest price excl us	Popularity Rank (category)	Popularity Rank (global)	Price 1 - Merchant Name	Price 1 - Price	Price 1 - Stock status	Price 1 - Shipping cost	Price 2 - Merchant Name	Price 2 - Price	Price 2 - Stock status	Price 2 - Shipping cost	Price 3 - Merchant Name	Price 3 - Price	Price 3 - Stock status	Price 3 - Shipping cost	Price 4 - Merchant Name	Price 4 - Price	Price 4 - Stock status	Price 4 - Shipping cost	Price 5 - Merchant Name	Price 5 - Price	Price 5 - Stock status	Price 5 - Shipping cost	Price 6 - Merchant Name	Price 6 - Price	Price 6 - Stock status	Price 6 - Shipping cost	Price 7 - Merchant Name	Price 7 - Price	Price 7 - Stock status	Price 7 - Shipping cost	Price 8 - Merchant Name	Price 8 - Price	Price 8 - Stock status	Price 8 - Shipping cost	Price 9 - Merchant Name	Price 9 - Price	Price 9 - Stock status	Price 9 - Shipping cost	Price 10 - Merchant Name	Price 10 - Price	Price 10 - Stock status	Price 10 - Shipping cost	Link to product	Gtin14
Accesspunkter, Bryggor & Repeatrar	Google	780008-01	5221532	Google Nest Wifi Point	20	1 790,00	Compumail	984,00	Compumail	984,00	8	8788	Compumail	984,00	In stock	62,00	Amazon.se	999,00	In stock		ComputerSalg.se	1 320,00	In stock	0,00	Cdon	1 347,00	In stock	0,00	Webhallen SE	1 349,00	In stock	0,00	Elgruvan	1 389,00	In stock	0,00	Datagrottan	1 411,00	In stock	29,00	Elektronikhuset Ljud & Data	1 519,00	Unknown stock status	0,00	Emarket	1 529,00	In stock	0,00	Proshop	1 666,00	In stock	0,00	https://www.pricerunner.se/pl/272-5221532/Accesspunkter-Bryggor-Repeatrar/Google-Nest-Wifi-Point-priser	00193575004648
Barnsäkerhet		124002-01	3202549628	EBO	7	1 290,00	tink	1 290,00	Rabattklubb	1 499,99			tink	1 290,00	In stock	0,00	Rabattklubb	1 499,99	In stock	0,00	ullakulla se	1 499,99	In stock	0,00	ShopBetter.se	1 509,99	In stock	0,00	Coolpriser.se	1 711,00	In stock	39,00	Cdon	1 730,00	In stock	0,00	RDEButik	1 785,00	Unknown stock status	119,00													https://www.pricerunner.se/pl/497-3202549628/Barnsaekerhet/EBO-priser	06972822120188
Batterier & Laddbart	Ring	360008-01	5151271	Ring Quick Release	17	349,00	ComputerSalg.se	305,00	ComputerSalg.se	305,00	331	30192	ComputerSalg.se	305,00	In stock	49,00	Compumail	320,00	In stock	62,00	Proshop	328,00	Out of stock	59,00	Elgiganten	346,00	In stock	39,00	tink	349,00	In stock	0,00	TechInn	377,99	In stock		Kjell & Company	379,90	In stock	49,00	Datagrottan	388,00	In stock	29,00	Cdon	412,00	In stock	0,00	Westium Data	440,00	In stock	150,00	https://www.pricerunner.se/pl/528-5151271/Batterier-Laddbart/Ring-Quick-Release-priser	00842861101041
Batterier & Laddbart	Arlo	1210016-01	3200468484	Arlo VMA5600B-20000S	15	749,00	tink	749,00	Webhallen SE	749,00	1327	108413	tink	749,00	In stock	0,00	Webhallen SE	749,00	In stock	0,00	Cdon	749,00	In stock	0,00	Inet	749,00	In stock	0,00	Elgiganten	749,00	In stock	39,00	MJ Multimedia	789,00	Out of stock	89,00	Coolshop SE	793,00	Unknown stock status	0,00	Elon	795,00	In stock	0,00	Komplett	799,00	In stock	0,00	Gravis.de	802,44	In stock	286,51	https://www.pricerunner.se/pl/528-3200468484/Batterier-Laddbart/Arlo-VMA5600B-20000S-priser	00193108141574
Batterier & Laddbart	Arlo	1210016-02	3200347672	Arlo VMA5600-20000S	20	749,00	Inet	699,00	Inet	699,00	181	17778	Inet	699,00	In stock	0,00	St George Security Store	745,00	In stock	69,00	tink	749,00	In stock	0,00	Webhallen SE	749,00	In stock	0,00	MediaMarkt	749,00	In stock	0,00	Kjell & Company	749,00	In stock	0,00	Elgiganten	749,00	In stock	39,00	MJ Multimedia	789,00	Out of stock	89,00	Komplett	799,00	In stock	0,00	Coolshop SE	808,00	In stock	0,00	https://www.pricerunner.se/pl/528-3200347672/Batterier-Laddbart/Arlo-VMA5600-20000S-priser	00193108141567
Batterier & Laddbart	Arlo	1210003-01	5280446	Arlo VMA3600	29	695,00	Power SE	469,00	Power SE	469,00	83	9699	Power SE	469,00	Out of stock	49,00	Proshop	469,00	In stock	59,00	Dustin Home	469,00	In stock	69,00	Inet	495,00	In stock	0,00	Elgiganten	495,00	In stock	39,00	Webhallen SE	499,00	In stock	49,00	MJ Multimedia	505,00	Out of stock	89,00	ComputerSalg.se	544,00	In stock	49,00	Compumail	546,00	In stock	62,00	Kjell & Company	549,00	In stock	0,00	https://www.pricerunner.se/pl/528-5280446/Batterier-Laddbart/Arlo-VMA3600-priser	00193108141093
Batterier & Laddbart	ABUS	130009-01	3204612654	ABUS Solcellspanel (för WLAN Battery Cam) vit	3	654,00	tink	654,00	Cdon	990,00			tink	654,00	In stock	0,00	Cdon	990,00	In stock	59,00	ComputerSalg.se	1 831,00	In stock	0,00																													https://www.pricerunner.se/pl/528-3204612654/Batterier-Laddbart/ABUS-Solcellspanel-%28foer-WLAN-Battery-Cam%29-vit-priser	04003318966668
Batterier & Laddbart	Sonos	220003-01	3200110991	Sonos Roam Wireless Charger	18	549,00	Datia	446,00	Datia	446,00	758	69381	Datia	446,00	Unknown stock status	124,00	Komplett	479,00	In stock	19,00	Hi-Fi Klubben Sverige	479,00	In stock	0,00	Davids	498,00	In stock	0,00	MediaMarkt	499,00	In stock	49,00	Sonos	499,00	In stock	0,00	Inet	499,00	In stock	0,00	Hembiobutiken	499,00	In stock	0,00	Dustin Home	499,00	In stock	29,00	Elgiganten	499,00	In stock	39,00	https://www.pricerunner.se/pl/528-3200110991/Batterier-Laddbart/Sonos-Roam-Wireless-Charger-priser	08717755777973
Belysning	Meross	250019-01	3203897073	Meross MSL430HK Bordslampa	8	550,00	ComputerSalg.se	401,00	ComputerSalg.se	401,00	2628	164350	ComputerSalg.se	401,00	In stock	59,00	Cdon	460,00	In stock	0,00	Amazon.se	461,64	In stock		iPhonebutiken	499,00	In stock	49,00	BricoInn	511,49	In stock	117,99	tink	550,00	In stock	0,00	Compumail	595,00	Out of stock	62,00	Fcomputer SE	764,00	In stock	69,00									https://www.pricerunner.se/pl/460-3203897073/Belysning/Meross-MSL430HK-Bordslampa-priser	06973696560483
Belysning	Innr	8000006	3203771111	Innr Utomhuslampa OPL Pollare	10	1 899,00	Proshop	1 329,00	Proshop	1 329,00			Proshop	1 329,00	In stock	0,00	Cdon	1 333,00	In stock	0,00	Komplett	1 829,00	In stock	0,00	Elon	1 890,00	In stock	0,00	ComputerSalg.se	1 898,00	In stock	0,00	tink	1 899,00	In stock	0,00	Elektronik24	2 093,00	Out of stock	49,00	Teknikproffset	2 199,00	Unknown stock status	0,00	Lamp24	2 199,00	In stock	0,00	Fcomputer SE	2 246,00	In stock	0,00	https://www.pricerunner.se/pl/460-3203771111/Belysning/Innr-Utomhuslampa-OPL-Pollare-priser	08718781552770
Belysning	Twinkly	310009-01	3200233124	Twinkly Line Ljuslist	19	899,00	Proshop	496,00	Proshop	496,00	1384	87639	Proshop	496,00	In stock	59,00	Webhallen SE	499,00	Out of stock	49,00	ComputerSalg.se	506,00	In stock	49,00	Compumail	628,00	In stock	62,00	Buyersclub	629,00	In stock	49,00	Hemmy	699,00	Out of stock	39,00	TVexperten	699,00	In stock	0,00	Vitvaruexperten	699,00	In stock	39,00	Fcomputer SE	751,00	In stock	69,00	Cdon	797,00	In stock	49,00	https://www.pricerunner.se/pl/460-3200233124/Belysning/Twinkly-Line-Ljuslist-priser	08056326677077
Belysning	Innr	800009-01	3203982567	Innr Flex Ljuslist	8	799,00	Compumail	670,00	Compumail	670,00			Compumail	670,00	In stock	62,00	Proshop	692,00	In stock	59,00	ComputerSalg.se	748,00	In stock	49,00	Cdon	786,00	In stock	0,00	Buyersclub	791,00	In stock	49,00	tink	799,00	In stock	0,00	Komplett	829,00	In stock	0,00	Lamp24	999,00	In stock	0,00									https://www.pricerunner.se/pl/460-3203982567/Belysning/Innr-Flex-Ljuslist-priser	08718781552732
Belysning	Innr	800025-01	3203860164	Innr Lighting RSL 115 Spotlight	6	239,00	tink	239,00	Komplett	259,00			tink	239,00	In stock	0,00	Komplett	259,00	In stock	19,00	Lamp24	269,00	In stock	59,00	Proshop	361,00	Out of stock	59,00	ComputerSalg.se	467,00	In stock	59,00	Buyersclub	519,00	In stock	49,00																	https://www.pricerunner.se/pl/460-3203860164/Belysning/Innr-Lighting-RSL-115-Spotlight-priser	08718781552893
Belysning	Philips Hue	230040-01	3202207389	Philips Hue Xamento Recessed 1x5.7W Spotlight	18	839,00	Komplett	746,00	Komplett	746,00			Komplett	746,00	In stock	0,00	Power SE	749,00	In stock	0,00	Elgiganten	749,00	In stock	39,00	Amazon.se	756,00	In stock		Proshop	757,00	In stock	59,00	Elbutik	770,00	Out of stock	49,00	ComputerSalg.se	788,00	In stock	49,00	Coolshop SE	795,00	In stock	0,00	Cdon	837,00	In stock	0,00	tink	839,00	In stock	0,00	https://www.pricerunner.se/pl/460-3202207389/Belysning/Philips-Hue-Xamento-Recessed-1x5.7W-Spotlight-priser	08719514452138
Belysning	Twinkly	310008-02	3203970209	Twinkly RGB LED-listförlängning Ljuslist	3	499,00	tink	499,00	Lampmani	545,00			tink	499,00	In stock	0,00	Lampmani	545,00	In stock	99,00	Elgiganten	599,00	In stock	39,00																													https://www.pricerunner.se/pl/460-3203970209/Belysning/Twinkly-RGB-LED-listfoerlaengning-Ljuslist-priser	08056326677886
